45,51,56,64,69,74
42,48,54,61,68,73
36,42,49,57,63,70
22,30,36,41,46,54
22,30,35,42,48,54
14,19,26,34,41,46
7,15,21,27,34,40
0,7,12,17,23,28
0,8,15,23,29,36
69,0,6,12,18,25
64,70,0,7,15,20
51,58,66,0,5,11
51,56,64,69,0,5
48,54,61,68,73,80
42,49,57,63,70,76
30,36,41,46,54,59
30,35,42,48,54,62
19,26,34,41,46,54
15,21,27,34,40,47
7,12,17,23,28,33
8,15,23,29,36,44
0,6,12,18,25,33
70,0,7,15,20,25
58,66,0,5,11,19
56,64,69,0,5,13
54,61,68,73,0,8
49,57,63,70,75,81
36,41,46,54,59,64
35,42,48,54,62,68
26,34,41,46,54,60
21,27,34,40,47,53
12,17,23,28,33,38
15,23,29,36,44,50
6,12,18,25,33,38
0,7,15,20,25,31
66,0,5,11,19,24
64,69,0,5,13,18
61,68,73,0,8,15
57,63,70,75,0,8
41,46,54,59,64,72
42,48,54,62,68,73
34,41,46,54,60,67
27,34,40,47,53,60
17,23,28,33,38,46
23,29,36,44,50,56
12,18,25,33,38,46
7,15,20,25,31,38
0,5,11,19,24,30
69,0,5,13,18,24
68,73,0,8,15,21
63,70,75,0,8,15
46,54,59,64,0,7
48,54,62,68,73,81
41,46,54,60,67,74
34,40,47,53,60,65
23,28,33,38,46,53
29,36,44,50,56,64
18,25,33,38,46,51
15,20,25,31,38,45
5,11,19,24,30,37
0,5,13,18,24,30
73,0,8,15,21,28
70,75,0,8,15,20
54,59,64,0,7,15
54,62,68,73,0,6
46,54,60,67,74,80
40,47,53,60,65,73
28,33,38,46,53,60
36,44,50,56,64,70
25,33,38,46,51,56
20,25,31,38,45,53
11,19,24,30,37,43
5,13,18,24,30,36
0,8,15,21,28,36
75,0,8,15,20,25
59,64,0,7,15,23
62,68,73,0,6,13
54,60,67,74,0,8
47,53,60,65,73,80
33,38,46,53,60,68
44,50,56,64,70,77
33,38,46,51,56,64
25,31,38,45,53,60
19,24,30,37,43,51
13,18,24,30,36,43
8,15,21,28,36,44
0,8,15,20,25,30
64,0,7,15,23,29
68,73,0,6,13,20
60,67,74,0,8,15
53,60,65,73,0,5
38,46,53,60,68,76
50,56,64,70,75,82
38,46,51,56,64,70
31,38,45,53,60,65
24,30,37,43,51,56
18,24,30,36,43,49
15,21,28,36,44,51
8,15,20,25,30,35
0,7,15,23,29,34
73,0,6,13,20,25
67,74,0,8,15,23
60,65,73,0,5,10
46,53,60,68,0,6
56,64,70,75,0,8
46,51,56,64,70,77
38,45,53,60,65,71
30,37,43,51,56,63
24,30,36,43,49,55
21,28,36,44,51,59
15,20,25,30,35,42
7,15,23,29,34,40
0,6,13,20,25,30
74,0,8,15,23,29
65,73,0,5,10,15
53,60,68,0,6,12
64,70,75,0,8,16
