44,44,30,33,34,36
45,45,47,30,28,28
44,46,46,49,30,31
36,37,41,43,43,46
37,41,45,48,51,55
33,33,34,38,36,37
39,38,39,39,41,40
30,31,29,30,28,30
31,30,28,32,32,36
32,30,32,36,40,39
32,30,34,36,35,37
30,32,35,33,36,34
44,30,33,34,36,37
45,47,30,28,28,28
46,46,49,30,31,32
37,41,43,43,30,34
41,45,48,51,51,49
33,34,38,36,37,39
38,39,39,41,40,41
31,29,30,28,30,28
30,28,32,32,36,35
30,32,36,40,39,41
30,34,36,35,37,41
32,35,33,36,34,32
30,33,34,36,37,38
47,30,28,28,28,30
46,49,30,31,32,34
41,43,43,30,34,33
45,48,51,51,30,29
34,38,36,37,39,42
39,39,41,40,41,44
29,30,28,30,28,29
28,32,32,36,35,37
32,36,40,39,41,44
34,36,35,37,41,39
35,33,36,34,32,34
33,34,36,37,38,37
30,28,28,28,30,29
49,30,31,32,34,38
43,43,30,34,33,37
48,51,51,30,29,30
38,36,37,39,30,31
39,41,40,41,44,43
30,28,30,28,29,28
32,32,36,35,37,37
36,40,39,41,44,45
36,35,37,41,39,37
33,36,34,32,34,32
34,36,37,38,37,40
28,28,28,30,29,28
30,31,32,34,38,36
43,30,34,33,37,39
51,51,30,29,30,28
36,37,39,30,31,31
41,40,41,44,30,31
28,30,28,29,28,31
32,36,35,37,37,36
40,39,41,44,45,45
35,37,41,39,37,41
36,34,32,34,32,36
36,37,38,37,40,41
28,28,30,29,28,29
31,32,34,38,36,40
30,34,33,37,39,38
51,30,29,30,28,29
37,39,30,31,31,35
40,41,44,30,31,32
30,28,29,28,30,31
36,35,37,37,37,40
39,41,44,45,45,46
37,41,39,37,41,43
34,32,34,32,36,36
37,38,37,40,41,42
28,30,29,28,29,31
32,34,38,36,40,43
34,33,37,39,38,37
30,29,30,28,29,30
39,30,31,31,35,36
41,44,30,31,32,36
28,29,28,30,31,31
35,37,37,37,30,29
41,44,45,45,30,34
41,39,37,41,43,46
32,34,32,36,36,37
38,37,40,41,42,46
30,29,28,29,31,31
34,38,36,40,43,47
33,37,39,38,37,39
29,30,28,29,30,30
30,31,31,35,36,38
44,30,31,32,36,39
29,28,30,31,31,29
37,37,37,30,29,27
44,45,45,30,34,32
39,37,41,43,30,31
34,32,36,36,37,37
37,40,41,42,46,47
29,28,29,31,31,32
38,36,40,43,47,45
37,39,38,37,39,43
30,28,29,30,30,28
31,31,35,36,38,39
30,31,32,36,39,37
28,30,31,31,29,31
37,37,30,29,27,26
45,45,30,34,32,35
37,41,43,30,31,35
32,36,36,37,30,30
40,41,42,46,47,45
28,29,31,31,32,30
36,40,43,47,45,44
39,38,37,39,43,47
28,29,30,30,28,31
31,35,36,38,39,38
31,32,36,39,37,41
30,31,31,29,31,33
37,30,29,27,26,28
45,30,34,32,35,37
41,43,30,31,35,37
36,36,37,30,30,31
41,42,46,47,30,34
29,31,31,32,30,29
40,43,47,45,44,42
38,37,39,43,47,50
29,30,30,28,31,31
35,36,38,39,38,37
32,36,39,37,41,45
31,31,29,31,33,31
30,29,27,26,28,29
30,34,32,35,37,37
43,30,31,35,37,41
36,37,30,30,31,34
42,46,47,30,34,33
31,31,32,30,30,32
43,47,45,44,42,42
37,39,43,47,50,53
30,30,28,31,31,30
36,38,39,38,37,38
36,39,37,41,45,47
31,29,31,33,31,30
29,27,26,28,29,28
34,32,35,37,37,38
30,31,35,37,41,40
37,30,30,31,34,37
46,47,30,34,33,32
31,32,30,30,32,32
47,45,44,42,30,33
39,43,47,50,53,51
30,28,31,31,30,30
38,39,38,37,38,38
39,37,41,45,47,50
